nome	type	circle	school	execucao	alcance	alvo	area	duracao	resistencia	description	publicacao	addPM.1	text.1	addPM.2	text.2	addPM.3	text.3	addPM.4	text.4	addPM.5	text.5	addPM.6	text.6	addPM.7	text.7	addPM.8	text.8	addPM.9	text.9	addPM.10	text.10	addPM.11	text.11	addPM.12	text.12	addPM.13	text.13
Aviso	Universal	1	Adiv	movimento	longo (90m 60q)	1 criatura		instantânea		Envia um aviso telepático para uma criatura, mesmo que não possa vê-la nem tenha linha de efeito. Escolha um:<br><i>Alerta:</i> o alvo recebe +5 em seu próximo teste de Iniciativa e de Percepção dentro da cena.<br><i>Mensagem:</i> o alvo recebe uma mensagem sua de até 25 palavras. Vocês devem ter um idioma em comum para o alvo poder entendê-lo.<br><i>Localização:</i> o alvo sabe onde você está naquele momento. Se você mudar de posição, ele não saberá.	Jogo do Ano	1	aumenta o alcance em um fator de 10 (90m para 900m, 900m para 9km e assim por diante).	1	se escolher mensagem, o alvo pode enviar uma resposta de até 25 palavras para você até o fim de seu próximo turno.	2	se escolher localização, muda a duração para cena. O alvo sabe onde você está mesmo que você mude de posição.	3	aumenta o número de alvos em +1.																		
Bênção	Divina	1	Encan	padrão	curto (9m 6q)	aliados		cena		Abençoa seus aliados, que recebem +1 em testes de ataque e rolagens de dano. Bênção anula Perdição.	Jogo do Ano	1	muda o alvo para 1 cadáver e a duração para 1 semana. O cadáver não se decompõe nem pode ser transformado em morto-vivo.	2	aumenta os bônus em +1, limitado pelo círculo máximo de magia que você pode lançar.																						
Caminhos da Natureza	Divina	1	Conv	padrão	curto (9m 6q)	criaturas escolhidas		1 dia		Você invoca espíritos da natureza, pedindo que eles abram seu caminho. As criaturas afetadas recebem deslocamento +3m e ignoram penalidades por terreno difícil em terrenos naturais.	Jogo do Ano	0	muda o alcance para pessoal e o alvo para você. Em vez do normal, você sabe onde fica o norte e recebe +5 em testes de Sobrevivência para se orientar.	1	além do normal, a CD para rastrear os alvos em terreno natural aumenta em +10.	2	aumenta o bônus de deslocamento em +3m.																				
Comando	Divina	1	Encan	padrão	curto (9m 6q)	1 humanóide		1 rodada	Vontade anula	Você dá uma ordem irresistível, que o alvo deve ser capaz de ouvir (mas não precisa entender). Se falhar na resistência, ele deve obedecer ao comando em seu próprio turno da melhor maneira possível. Escolha um dos efeitos a seguir:<br><i>Fuja:</i> o alvo gasta seu turno se afastando de você (usando todas as suas ações).<br><i>Largue:</i> o alvo solta quaisquer itens que esteja segurando e não pode pegá-los novamente até o início de seu próximo turno. Como esta é uma ação livre, ele ainda pode executar outras ações (exceto pegar aquilo que largou).<br><i>Pare:</i> o alvo fica pasmo (uma vez por cena).<br><i>Senta:</i> com uma ação livre, o alvo senta no chão (se estava pendurado ou voando, desce até o chão). Ele pode fazer outras ações, mas não se levantar até o início de seu próximo turno.<br><i>Venha:</i> o alvo gasta seu turno se aproximando de você (usando todas as suas ações).	Jogo do Ano	1	muda o alvo para 1 criatura.	2	aumenta a quantidade de alvos em +1																						
Compreensão	Universal	1	Adiv	padrão	toque	1 criatura ou texto		cena	Vontade anula (veja texto)	Essa magia lhe confere compreensão sobrenatural. Você pode tocar um texto e entender as palavras mesmo que não conheça o idioma. Se tocar numa criatura inteligente, pode se comunicar com ela mesmo que não tenham um idioma em comum. Se tocar uma criatura não inteligente, como um animal, pode perceber seus sentimentos.<br>Você também pode gastar uma ação de movimento para ouvir os pensamentos de uma criatura tocada (você “ouve” o que o alvo está pensando), mas um alvo involuntário tem direito a um teste de Vontade para proteger seus pensamentos e evitar este efeito.	Jogo do Ano	1	muda o alcance para curto.	2	muda o alcance para curto e o alvo para criaturas escolhidas. Você pode entender todas as criaturas afetadas, mas só pode ouvir os pensamentos de uma por vez.	2	muda o alvo para 1 criatura. Em vez do normal, pode vasculhar os pensamentos do alvo para extrair informações. O alvo tem direito a um teste de Vontade para anular este efeito. O mestre decide se a criatura sabe ou não a informação que você procura. Requer 2º círculo.	5	muda o alcance para pessoal e o alvo para você. Em vez do normal, você pode falar, entender e escrever qualquer idioma. Requer 3º círculo.																		
Concentração de Combate	Arcana	1	Adiv	livre	pessoal	você		1 rodada		Você amplia sua percepção, antecipando movimentos dos inimigos e achando brechas em sua defesa. Quando faz um teste de ataque, você rola dois dados e usa o melhor resultado	Jogo do Ano	2	muda a execução para padrão e a duração para cena. Requer 2º círculo.	5	além do normal, ao atacar você, um inimigo deve rolar dois dados e usar o pior resultado. Requer 3º círculo.	9	muda a execução para padrão, o alcance para curto, o alvo para criaturas escolhidas e a duração para cena. Requer 4º círculo.	14	muda a execução para padrão e a duração para 1 dia. Além do normal, você recebe um sexto sentido que o avisa de qualquer perigo ou ameaça. Você fica imune às condições surpreendido e desprevenido e recebe +10 em Defesa e Reflexos. Requer 5º círculo.																		
Conjurar Monstro	Arcana	1	Conv	completa	curto (9m 6q)	1 criatura conjurada		sustentada		Você conjura um monstro Pequeno que ataca seus inimigos. Você escolhe a aparência do monstro e o tipo de dano que ele pode causar, entre corte, impacto e perfuração. No entanto, ele não é uma criatura real, e sim um construto feito de energia. Se for destruído, ou quando a magia acaba, desaparece com um brilho, sem deixar nada para trás. Você só pode ter um monstro conjurado por esta magia por vez.<br>O monstro surge em um espaço desocupado a sua escolha dentro do alcance e age no início de cada um de seus turnos, a partir da próxima rodada. O monstro tem deslocamento 9m e pode fazer uma ação de movimento por rodada. Você pode gastar uma ação padrão para dar uma das seguintes ordens a ele.<br><i>Mover:</i> o monstro se movimenta o dobro do deslocamento nessa rodada.<br><i>Atacar:</i> o monstro causa 2d4+2 pontos de dano a uma criatura adjacente.<br><i>Lançar Magia:</i> o monstro pode servir como ponto de origem para uma magia lançada por você com execução de uma ação padrão ou menor. Ele pode descarregar um <i>Toque Chocante</i> em um inimigo distante, ou mesmo “cuspir” uma Bola de Fogo! Você gasta PM normalmente para lançar a magia.<br>Outros usos criativos para monstros conjurados ficam a critério do mestre. O monstro não age sem receber uma ordem.<br>Para efeitos de jogo, o monstro conjurado tem For 2, Des 3 e todos os outros atributos nulos. Ele tem Defesa igual a sua, 20 pontos de vid e usa o seu bônus para teste de Reflexos. Ele é imune a efeitos que pedem um teste de Fortitude ou Vontade.<br>	Jogo do Ano	1	o monstro ganha deslocamento de escalada ou natação igual ao seu deslocamento terrestre.	1	aumenta o deslocamento do monstro em +3m.	1	muda o tipo de dano do ataque do monstro para ácido, fogo, frio ou eletricidade.	2	o monstro ganha percepção às cegas (alcance curto).	2	aumenta os PV do monstro em +10 para cada categoria de tamanho a partir de Pequeno (+10 PV para Pequeno, +20 PV para Médio etc.).	2	aumenta o tamanho do monstro para Médio. Ele tem For 4, Des 3, 45 PV, deslocamento 12m e seu ataque causa 2d6+6 pontos de dano.	2	o monstro ganha resistência 5 contra dois tipos de dano (por exemplo, corte e frio).	4	o monstro ganha uma nova ordem: Arma de Sopro. Para dar essa ordem você gasta 1 PM, e faz o monstro causar o dobro de seu dano de ataque em um cone de 6m a partir de si (Reflexos reduz à metade).	5	aumenta o tamanho do monstro para Grande. Ele tem For 7, Des 2, 75 PV, deslocamento 12m e seu ataque causa 4d6+10 pontos de dano com 3m de alcance. Requer 2º círculo.	9	o monstro ganha deslocamento de voo igual ao dobro do deslocamento.	9	o monstro ganha imunidade contra dois tipos de dano.	9	aumenta o tamanho do monstro para Enorme. Ele tem For 11, Des 1, 110 PV, deslocamento 15m e seu ataque causa 4d8+15 pontos de dano com 4,5m de alcance. Requer 4º círculo.	14	aumenta o tamanho do monstro para Colossal. Ele tem For 15, Des 0, 180 PV, deslocamento 15m e seu ataque causa 4d12+20 pontos de dano com 9m de alcance. Requer 5º círculo.
Consagrar	Divina	1	Evoc	padrão	longo (90m 60q)		esfera de 9m de raio	1 dia		Você enche a área com energia positiva. Pontos de vida curados por efeitos de luz são maximizados dentro da área. Isso também afeta dano causado em mortos-vivos por esses efeitos.<br>Por exemplo, Curar Ferimentos cura automaticamente 18 PV. Esta magia não pode ser lançada em uma área contendo um símbolo visível dedicado a uma divindade que não a sua. Consagrar anula Profanar.	Jogo do Ano	1	além do normal, mortos-vivos na área sofrem –2 em testes e Defesa.	2	aumenta as penalidades para mortos-vivos em –1.	9	muda a execução para 1 hora, a duração para permanente e adiciona componente material (incenso e óleos no valor de T$ 1.000). Requer 4º círculo.																				
Controlar Plantas	Divina	1	Trans	padrão	curto (9m 6q)		quadrado de 9m de lado	cena	Reflexos anula	Esta magia só pode ser lançada em uma área com vegetação. As plantas se enroscam nas criaturas da área. Aquelas que falharem na resistência ficam Enredado. Uma vítima pode se libertar com uma ação padrão e um teste de Acrobacia ou Atletismo. Além disso, a área é considerada terreno difícil. No início de seus turnos, a vegetação tenta enredar novamente qualquer criatura na área, exigindo um novo teste de Reflexos.	Jogo do Ano	0	muda a área para alvo de 1 planta e a resistência para nenhuma. Em vez do normal, você pode fazer a planta se mover como se fosse animada. Ela não pode causar dano ou atrapalhar a concentração de um conjurador.	1	muda a duração para instantânea. Em vez do normal, as plantas na área diminuem, como se tivessem sido podadas. Terreno difícil muda para terreno normal e não oferece camuflagem. Esse efeito dissipa o uso normal de Controlar Plantas.	1	além do normal, criaturas que falhem na resistência também ficam imóveis.	2	muda o alcance para pessoal, a área para alvo (você) e a resistência para nenhuma. Em vez do normal, você consegue se comunicar com plantas, que começam com atitude prestativa em relação a você. Além disso, você pode fazer testes de Diplomacia com plantas. Em geral, plantas têm uma percepção limitada de seus arredores e normalmente fornecem respostas simplórias.																		
Criar Elementos	Divina	1	Conv	padrão	curto (9m 6q)	elemento escolhido		instantânea		Você cria uma pequena porção de um elemento, a sua escolha. Os elementos criados são reais, não mágicos. Elementos físicos devem surgir em uma superfície. Em vez de um cubo, pode-se criar objetos simples (sem partes móveis) feitos de gelo, terra ou pedra.<br><i>Água:</i> enche um recipiente de tamanho Minúsculo (como um odre) com água potável ou cria um cubo de gelo de tamanho Minúsculo.<br><i>Ar:</i> cria um vento fraco em um quadrado de 1,5m. Isso purifica a área de qualquer gás ou fumaça, ou remove névoa por uma rodada.<br><i>Fogo:</i> cria uma chama que ilumina como uma tocha. Você pode segurá-la na palma de sua mão sem se queimar, ou fazê-la surgir em um quadrado de 1,5m. Se uma criatura ou objeto estiver no quadrado, sofre 1d6 pontos de dano de fogo; se falhar num teste de Reflexos, pega fogo.<br><i>Terra:</i> cria um cubo de tamanho Minúsculo feito de terra, argila ou pedra.	Jogo do Ano	1	aumenta a quantidade do elemento em um passo (uma categoria de tamanho para água ou terra, +1 quadrado de 1,5m para ar e fogo).	1	muda o efeito para alvo 1 criatura ou objeto e a resistência para Reflexos reduz à metade. Se escolher água ou terra, você arremessa o cubo ou objeto criado no alvo, causando 2d4 pontos de dano de impacto. Para cada categoria de tamanho acima de Minúsculo, o dano aumenta em um passo. O cubo se desfaz em seguida.	1	se escolheu fogo, aumenta o dano inicial de cada chama em +1d6.																				
Criar Ilusão	Arcana	1	Ilusão	padrão	médio (30m 20q)	ilusão que se estende a até 4 cubos de 5m		cena	Vontade desacredita	Esta magia cria uma ilusão visual (uma criatura, uma parede...) ou sonora (um grito de socorro, um uivo assustador...). A magia cria apenas imagens ou sons simples, com volume equivalente ao tom de voz normal para cada cubo de 1,5m no efeito. Não é possível criar cheiros, texturas ou temperaturas, nem sons complexos, como uma música ou diálogo. Criaturas e objetos atravessam uma ilusão sem sofrer dano, mas a magia pode, por exemplo, esconder uma armadilha ou inimigo. A magia é dissipada se você sair do alcance.	Jogo do Ano	1	muda a duração para sustentada. A cada rodada você pode gastar uma ação livre para mover a imagem ou alterar levemente o som, como aumentar o volume ou fazer com que pareça se afastar ou se aproximar, ainda dentro dos limites do efeito. Você pode, por exemplo, criar a ilusão de um fantasma que anda pela sala, controlando seus movimentos. Quando você para de sustentar a magia, a imagem ou som persistem por mais uma rodada antes de a magia se dissipar.	1	aumenta o efeito da ilusão em +1 cubo de 1,5m.	1	também pode criar ilusões de imagem e sons combinados.	1	também pode criar sons complexos com volume máximo equivalente ao que cinco pessoas podem produzir para cada cubo de 1,5m no efeito. Com uma ação livre, você pode alterar o volume do som ou fazê-lo se aproximar ou se afastar dentro do alcance.	2	também pode criar odores e sensações térmicas, que são percebidos a uma distância igual ao dobro do tamanho máximo do efeito. Por exemplo, uma miragem de uma fogueira com 4 cubos de 1,5m poderia emanar calor e cheiro de queimado a até 12m.	2	muda o alcance para longo e o efeito para esfera de 30m de raio. Em vez do normal, você cria um som muito alto, equivalente a uma multidão. Criaturas na área lançam magias como se estivessem em uma condição ruim e a CD de testes de Percepção para ouvir aumenta em +10. Requer 2º círculo.	2	também criar sensações táteis, como texturas; criaturas que não saibam que é uma ilusão não conseguem atravessá-la sem passar em um teste de Vontade (objetos ainda a atravessam). A ilusão ainda é incapaz de causar ou sofrer dano. Requer 2º círculo.	5	muda a duração para sustentada. Além do normal, você pode gastar uma ação livre para modificar livremente a ilusão (mas não pode acrescentar novos aprimoramentos após lançá-la). Requer 3º círculo.										
Curar Ferimentos	Divina	1	Evoc	padrão	toque	1 criatura		instantânea		Você canaliza energia positiva que recupera 2d8+2 pontos de vida na criatura tocada.	Jogo do Ano	0	muda o alvo para 1 morto-vivo. Em vez do normal, causa 1d8 pontos de dano de luz (Vontade reduz à metade).	1	aumenta a cura em +1d8+1.	2	também remove uma condição de fadiga do alvo.	2	muda o alcance para curto.	5	muda o alcance para curto e o alvo para criaturas escolhidas.																
Despedaçar	Divina	1	Evoc	padrão	curto (9m 6q)	1 criatura ou objeto mundano pequeno		instantânea	Fortitude parcial	Esta magia emite um som alto e agudo. O alvo sofre 1d8+2 pontos de dano de impacto (ou o dobro disso e ignora RD se for um construto ou objeto mundano) e fica Atordoado por uma rodada (apenas uma vez por cena). Um teste de Fortitude reduz o dano à metade e evita o atordoamento.	Jogo do Ano	2	aumenta o dano em +1d8+2.	2	muda o alvo para objeto mundano Médio. Requer 2º círculo.	5	muda o alvo para objeto mundano Grande. Requer 3º círculo.	5	muda o alcance para pessoal e a área para esfera de 6m de raio. Todas as criaturas e objetos na área são afetados.	9	muda o alvo para objeto mundano Enorme. Requer 4º círculo.	14	muda o alvo para objeto mundano Colossal. Requer 5º círculo.														
Detectar Ameaças	Divina	1	Adiv	padrão	pessoal		esfera de 8m de raio	cena até ser descarregada		Você recebe uma intuição aguçada sobre perigos ao seu redor. Quando uma criatura hostil ou armadilha entra na área do efeito, você faz um teste de Percepção (CD determinada pelo mestre de acordo com a situação). Se passar, sabe a origem (criatura ou armadilha), direção e distância do perigo. Se falhar, sabe apenas que o perigo existe.	Jogo do Ano	1	você descobre também a raça ou espécie e o poder da criatura detectada (determinado pela aura dela). Criaturas de 1º a 6º nível geram aura tênue, criaturas de 7º a 12º nível geram aura moderada e criaturas de 13º ao 20º nível geram aura poderosa. Criaturas acima do 20º nível geram aura avassaladora.	2	além do normal, você não fica surpreso e desprevenido contra perigos detectados com sucesso e recebe +5 em testes de resistência contra armadilhas. Requer 2º círculo.																						
Disfarce Ilusório	Arcana	1	Ilusão	padrão	pessoal	você		cena	Vontade desacredita	Você muda a aparência do alvo, incluindo seu equipamento. Isso inclui altura, peso, tom de pele, cor de cabelo, timbre de voz etc. O alvo recebe +10 em testes de Enganação para disfarce. O alvo não recebe novas habilidades (você pode ficar parecido com outra raça, mas não ganhará as habilidades dela), nem modifica o equipamento (uma espada longa disfarçada de bordão continua funcionando e causando dano como uma espada).	Jogo do Ano	0	muda o alcance para toque, o alvo para 1 criatura e a duração para 1 semana. Em vez do normal, você faz uma pequena alteração na aparência do alvo, como deixar o nariz vermelho ou fazer brotar um gerânio no alto da cabeça. A mudança é inofensiva, mas persistente — se a flor for arrancada, por exemplo, outra nascerá no local.	1	muda o alcance para curto e o alvo para 1 objeto. Você pode, por exemplo, transformar pedaços de ferro em moedas de ouro. Você recebe +10 em testes de Enganação para falsificação.	2	muda o alcance para curto e o alvo para 1 criatura. Uma criatura involuntária pode anular o efeito com um teste de Vontade.	2	a ilusão inclui odores e sensações. Isso muda o bônus em testes de Enganação para disfarce para +20.	3	muda o alcance para curto e o alvo para criaturas escolhidas. Cada criatura pode ter uma aparência diferente. Criaturas involuntárias podem anular o efeito com um teste de Vontade. Requer 2º círculo.																
Enfeitiçar	Arcana	1	Encan	padrão	curto (9m 6q)	1 humanóide		cena	Vontade anula	O alvo fica enfeitiçado (veja a página 394). Um alvo hostil ou que esteja envolvido em um combate recebe +5 em seu teste de resistência. Se você ou seus aliados tomarem qualquer ação hostil contra o alvo, a magia é dissipada e o alvo retorna à atitude que tinha antes (ou piorada, de acordo com o mestre).	Jogo do Ano	2	em vez do normal, você sugere uma ação para o alvo e ele obedece. A sugestão deve ser feita de modo que pareça aceitável, a critério do mestre. Pedir ao alvo que pule de um precipício, por exemplo, dissipa a magia. Já sugerir a um guarda que descanse um pouco, de modo que você e seus aliados passem por ele, é aceitável. Quando o alvo executa a ação, a magia termina. Você pode determinar uma condição específica para a sugestão: por exemplo, que um rico mercador doe suas moedas para o primeiro mendigo que encontrar.	5	muda o alvo para 1 espírito ou monstro. Requer 3º círculo.	5	afeta todos os alvos dentro do alcance.																				
Escudo da Fé	Divina	1	Abjur	reação	curto (9m 6q)	1 criatura		1 turno		Um escudo místico se manifesta momentaneamente para bloquear um golpe. O alvo recebe +2 na Defesa.	Jogo do Ano	1	muda a execução para ação padrão, o alcance para toque e a duração para cena.	1	também fornece ao alvo camuflagem leve contra ataques à distância.	2	aumenta o bônus na Defesa em +1.	2	muda a execução para ação padrão, o alcance para toque e a duração para cena. A magia cria uma conexão mística entre você e o alvo. Além do efeito normal, o alvo sofre metade do dano por ataques e efeitos; a outra metade do dano é transferida a você. Se o alvo sair de alcance curto de você, a magia é dissipada. Requer 2º círculo.	3	muda a duração para 1 dia. Requer 2º círculo.																
Escuridão	Universal	1	Necro	padrão	curto (9m 6q)	1 objeto		cena	Vontade anula (veja texto)	O alvo emana sombras em uma área com 6m de raio. Criaturas dentro da área recebem camuflagem leve por escuridão leve. As sombras não podem ser iluminadas por nenhuma fonte de luz natural. O objeto pode ser guardado (em um bolso, por exemplo) para interromper a escuridão, que voltará a funcionar caso o objeto seja revelado. Se lançar a magia num objeto de uma criatura involuntária, ela tem direito a um teste de Vontade para anulá-la. Escuridão anula Luz.	Jogo do Ano	1	aumenta a área da escuridão em +1,5m de raio.	2	muda o efeito para fornecer camuflagem total por escuridão total. As sombras bloqueiam a visão na área e através dela.	2	muda o alvo para 1 criatura e a resistência para Fortitude parcial. Você lança a magia nos olhos do alvo, que fica cego pela cena. Se passar na resistência, fica cego por 1 rodada. Requer 2º círculo.	3	muda a duração para 1 dia.	5	muda o alcance para pessoal e o alvo para você. Em vez do normal, você é coberto por sombras, recebendo +10 em testes de Furtividade e camuflagem leve. Requer 2º círculo.																
Explosão de Chamas	Arcana	1	Evoc	padrão	pessoal		cone de 6m	instantânea	Reflexos reduz à metade	Um leque de chamas irrompe de suas mãos, causando 2d6 pontos de dano de fogo às criaturas na área.	Jogo do Ano	0	muda o alcance para curto, a área para alvo de 1 objeto e a resistência para Reflexos anula. Você gera uma pequena explosão que não causa dano mas pode acender uma vela, tocha ou fogueira. Também pode fazer um objeto inflamável com RD 0 (como uma corda ou pergaminho) ficar em chamas. Uma criatura em posse de um objeto pode evitar esse efeito se passar no teste de resistência.	1	aumenta o dano em +1d6.	1	muda a resistência para Reflexos parcial. Se passar, a criatura reduz o dano à metade; se falhar, fica em chamas (veja Condições, no Apêndice).																				
Hipnotismo	Arcana	1	Encan	padrão	curto (9m 6q)	1 animal ou humanóide		1d4 rodadas	Vontade anula	Suas palavras e movimentos ritmados deixam o alvo fascinado. Esta magia só afeta criaturas que possam perceber você. Se usar esta magia em combate, o alvo recebe +5 em seu teste de resistência. Se a criatura passar, fica imune a este efeito por um dia.	Jogo do Ano	0	muda a duração para 1 rodada. Em vez de fascinado, o alvo fica pasmo. (apenas uma vez por cena)	1	como o normal, mas alvos que passarem na resistência não sabem que foram vítimas de uma magia.	2	muda o alvo para animais ou humanoides escolhidos.	2	muda a duração para sustentada.	2	também afeta espíritos e monstros na área. Requer 2º círculo.	5	também afeta construtos, espíritos, monstros e mortos-vivos na área. Requer 3º círculo.														
