ND,d%,Dinheiro,,d%,Itens,,Resultados da Tabela
,46-85,1d3 riquezas médias,,71-90,Superior (3 melhorias),,
,86-100,2d6x100 TO,,91-100,Mágico (menor) 2D,,
12,01-10,—,,01-45,—,,
,11-45,1 riqueza média +%,,46-70,1d3+1 poções +%,,
,46-80,2d6x1.000 T$,,71-85,Superior (4 melhorias),,
,81-100,1d4+1 riquezas médias,,86-100,Mágico (menor),,
13,01-10,—,,01-40,—,,
,11-45,4d4x1.000 T$,,41-65,1d4+1 poções +%,,
,46-80,1d3+1 riquezas médias,,66-95,Superior (4 melhorias),,
,81-100,4d6x100 TO,,96-100,Mágico (médio),,
14,01-10,—,,01-40,—,,
,11-45,1d3+1 riquezas médias,,41-65,1d4+1 poções +%,,
,46-80,3d6x1.000 T$,,66-90,Superior (4 melhorias),,
,81-100,1 riqueza maior,,91-100,Mágico (médio),,
15,01-10,—,,01-35,—,,
,11-45,1 riqueza média+%,,36-45,1d6+1 poções,,
,46-80,2d10x1.000 T$,,46-85,Superior (4 melhorias) 2D,,
,81-100,1d4x1.000 TO,,86-100,Mágico (médio),,
16,01-10,—,,01-35,—,,
,11-40,3d6x1.000 T$,,36-45,1d6+1 poções +%,,
,41-75,3d10x100 TO,,46-80,Superior (4 melhorias) 2D,,
,76-100,1d3 riquezas maiores,,81-100,Mágico (médio),,
17,01-05,—,,01-20,—,,
,06-40,4d6x1.000 T$,,21-40,Mágico (menor),,
,41-75,1d3 riquezas médias +%,,41-80,Mágico (médio),,
,76-100,2d4x1.000 TO,,81-100,Mágico (maior),,
18,01-05,—,,01-15,—,,
,06-40,4d10x1.000 T$,,16-40,Mágico (menor) 2D,,
,41-75,1 riqueza maior,,41-70,Mágico (médio),,
,76-100,1d3+1 riquezas maiores,,71-100,Mágico (maior),,
19,01-05,—,,01-10,—,,
,06-40,4d12x1.000 T$,,11-40,Mágico (menor) 2D,,
,41-75,1 riqueza maior +%,,41-60,Mágico (médio) 2D,,
,76-100,1d12x1.000 TO,,61-100,Mágico (maior),,
20,01-05,—,,01-05,—,,
,06-40,2d4x1.000 TO,,06-40,Mágico (menor) 2D,,
,41-75,1d3 riquezas maiores,,41-50,Mágico (médio) 2D,,
,76-100,1d3+1 riquezas maiores +%,,51-100,Mágico (maior) 2D,,
,,,,,,,
"+%        Na rolagem de d% para determinar o tipo de riqueza ou poção, você recebe +20%.",,,,,,,
,,,,,,,
"2D        Na rolagem para definir o tipo de equipamento ou item mágico, role 2d6 e escolha um deles.",,,,,,,
