ACESSÓRIOS MENORES,,,,,,ACESSÓRIOS MÉDIOS,,,,,,ACESSÓRIOS MAIORES,,,,
d%,Acessório,Preço,Livro,Página,,d%,Acessório,Preço,Livro,Página,,d%,Acessório,Preço,Livro,Página
66,Monóculo da franqueza,4.500,Heróis de Arton,266,,27,Capa nebulosa,16.500,Heróis de Arton,264,,68-71,Colar guardião,51.000,Tormenta20,343
67-68,Chapéu do disfarce,6.000,Tormenta20,343,,28,Espelho do outro lado,18.000,Heróis de Arton,265,,72-73,Estatueta animista,51.000,Tormenta20,344
69,Flauta fantasma,6.000,Tormenta20,344,,29-30,Gema da purificação,18.000,Heróis de Arton,266,,74-75,Anel da liberdade,60.000,Tormenta20,342
70-71,Lanterna da revelação,6.000,Tormenta20,344,,31-32,Máscara da raposa,18.000,Heróis de Arton,266,,76-77,Tapete voador,60.000,Tormenta20,345
72-73,Algibeira provedora,6.000,Heróis de Arton,263,,33-36,Anel da energia,21.000,Tormenta20,342,,78-79,Chave dos planos,60.000,Heróis de Arton,264
74-75,Gaiola dos arcanos,6.000,Heróis de Arton,266,,37-40,Anel da vitalidade,21.000,Tormenta20,342,,80-81,Cinto da desmaterialização,60.000,Heróis de Arton,264
76-77,Lâmpada da ilusão impecável,6.000,Heróis de Arton,266,,41-42,Anel de invisibilidade,21.000,Tormenta20,342,,82-85,Braceletes de ouro,64.500,Tormenta20,342
78-79,Pena da criação,6.000,Heróis de Arton,267,,43-44,Braçadeiras do arqueiro,21.000,Tormenta20,342,,86-87,Espelho da oposição,75.000,Tormenta20,344
80-81,Corda da resignação,7.500,Heróis de Arton,265,,45-46,Brincos de Marah,21.000,Tormenta20,343,,88-91,Robe do arquimago,90.000,Tormenta20,345
82-86,Anel da proteção,9.000,Tormenta20,342,,47-48,Faixas do pugilista,21.000,Tormenta20,344,,92-93,Ossos dracônicos,90.000,Deuses de Arton,56
87,Anel do escudo mental,9.000,Tormenta20,342,,49-50,Manto da aranha,21.000,Tormenta20,344,,94-95,Orbe das tempestades,97.500,Tormenta20,345
88,Pingente da saúde,9.000,Tormenta20,345,,51-52,Vassoura voadora,21.000,Tormenta20,345,,96-97,Braçadeiras da força do colosso,120.000,Heróis de Arton,264
89,Coroa de flores,9.000,Deuses de Arton,55,,53-54,Símbolo abençoado,21.000,Tormenta20,345,,98-99,Anel da regeneração,150.000,Tormenta20,342
90,Jarro das profundezas,9.000,Deuses de Arton,58,,55,Colar de presas,21.000,Deuses de Arton,57,,100,Espelho do aprisionamento,150.000,Tormenta20,344
91,Escrivaninha consagrada,9.000,Deuses de Arton,58,,56,Vestido noturno,21.000,Deuses de Arton,58,,,,,,
92,Anel da proteção mental,9.000,Heróis de Arton,263,,57,Anel da beleza ilusória,21.000,Heróis de Arton,263,,,,,,
93,Berço das fadas,9.000,Heróis de Arton,263,,58,Bastão do sonhador,21.000,Heróis de Arton,263,,,,,,
94,Chapéu dos truques infinitos,9.000,Heróis de Arton,264,,59,Colar da fúria monstruosa,21.000,Heróis de Arton,264,,,,,,
95,Cinto da leveza graciosa,9.000,Heróis de Arton,264,,60,Coroa da floresta sussurrante,21.000,Heróis de Arton,265,,,,,,
96,Cristal da voz silenciosa,9.000,Heróis de Arton,265,,61,Espelho da verdade,21.000,Heróis de Arton,265,,,,,,
97,Cristal do tempo célere,9.000,Heróis de Arton,265,,62,Instrumentos da celeridade,22.500,Heróis de Arton,266,,,,,,
98,Ocarina da melodia distante,9.000,Heróis de Arton,266,,63,Máscara do predador,22.500,Heróis de Arton,266,,,,,,
99,Olhos do corvo,9.000,Heróis de Arton,266,,64-65,Frigideira do chef anão,24.000,Heróis de Arton,266,,,,,,
100,Pergaminho da verdade cósmica,9.000,Heróis de Arton,267,,66,Gema da santificação,24.000,Heróis de Arton,266,,,,,,
,,,,,,67,Cubo armadilha,25.000,Deuses de Arton,56,,,,,,
,,,,,,68,Caldeirão da vida,25.000,Deuses de Arton,57,,,,,,
,,,,,,69-72,Amuleto da robustez,25.500,Tormenta20,342,,,,,,
,,,,,,73-74,Botas velozes,25.500,Tormenta20,342,,,,,,
,,,,,,75-78,Cinto da força do gigante,25.500,Tormenta20,343,,,,,,
,,,,,,79-82,Coroa majestosa,25.500,Tormenta20,344,,,,,,
,,,,,,83-86,Estola da serenidade,25.500,Tormenta20,344,,,,,,
,,,,,,87,Manto do morcego,25.500,Tormenta20,344,,,,,,
,,,,,,88-91,Pulseiras da celeridade,25.500,Tormenta20,345,,,,,,
,,,,,,92-95,Tiara da sapiência,25.500,Tormenta20,345,,,,,,
,,,,,,96-97,Argolas místicas,25.500,Deuses de Arton,59,,,,,,
,,,,,,98,Bastão da grande harmonia,25.500,Heróis de Arton,263,,,,,,
,,,,,,99,Coroa da majestade distorcida,25.500,Heróis de Arton,265,,,,,,
,,,,,,100,Bracelete do coração vivaz,27.000,Heróis de Arton,264,,,,,,
